Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags
525,8.2,0,1842,9,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']"
440,8,16,2418,10,11,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2623,8.7,257,12158,10,3,"[' Leisure trip ', ' Travelers with friends ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
220,9.3,0,831,14,11,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
369,6.4,0,2275,4,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
854,7.8,4,3867,0,3,"[' Leisure trip ', ' Couple ', ' Double Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
135,8.6,58,1184,0,9,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
169,8.1,22,784,8,1,"[' Leisure trip ', ' Couple ', ' Deluxe Twin Room ', ' Stayed 2 nights ']"
228,8.3,0,3613,9,6,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 1 night ']"
177,7.9,4,2045,16,4,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
101,8.2,6,1658,4,44,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 3 nights ']"
187,7.6,32,830,31,2,"[' Leisure trip ', ' Group ', ' Premier Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
127,9.2,5,1073,12,12,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
92,8.3,78,1023,44,3,"[' Leisure trip ', ' Couple ', ' Special Offer Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1936,8.7,53,7491,7,7,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
248,9.2,0,945,36,1,"[' Leisure trip ', ' Couple ', ' Studio Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
418,8.6,2,1572,9,4,"[' Leisure trip ', ' Couple ', ' Double Room with View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
81,9,7,707,25,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room Loge Sup rieure ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
383,8.9,9,2295,3,1,"[' Solo traveler ', ' Superior Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
112,8.8,38,1072,21,3,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 4 nights ']"
115,7.3,4,1125,17,1,"[' Leisure trip ', ' Solo traveler ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
597,7.9,2,2308,2,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
303,8.9,0,1110,19,5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
173,9.2,0,1772,20,2,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
620,9,157,1974,0,1,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
18,9.1,24,59,18,5,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
879,8.8,23,2768,44,2,"[' Leisure trip ', ' Couple ', ' Double Room with Two Double Beds ', ' Stayed 1 night ']"
176,8.2,2,1047,9,1,"[' Leisure trip ', ' Family with older children ', ' Superior Premium Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
224,8.6,9,2351,35,2,"[' Leisure trip ', ' Family with young children ', ' Superior Junior Suite ', ' Stayed 3 nights ']"
168,8.2,24,1579,18,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
391,8.8,13,4324,35,3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
338,8.4,0,1925,5,11,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
218,7.5,2,1270,0,1,"[' Leisure trip ', ' Solo traveler ', ' Large Penthouse Suite with Terrace and City View ', ' Stayed 2 nights ']"
222,7.5,0,1016,27,26,"[' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']"
224,8.6,16,2351,11,2,"[' Business trip ', ' Solo traveler ', ' Junior Suite ', ' Stayed 3 nights ']"
254,9.3,13,2011,13,18,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']"
853,8.4,2,2726,10,2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
154,8,5,768,14,9,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
764,8.2,0,2996,46,9,"[' Leisure trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 1 night ']"
98,8.4,7,970,12,4,"[' Leisure trip ', ' Group ', ' One Bedroom Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
556,8,45,2347,14,9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
198,7.4,19,843,2,5,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 1 night ']"
185,8.8,59,2336,0,1,"[' Leisure trip ', ' Family with older children ', ' Premium Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
617,8.8,2,2213,21,3,"[' Leisure trip ', ' Group ', ' Executive King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
417,6.7,265,2400,6,1,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ']"
628,8.1,28,2312,3,1,"[' Business trip ', ' Solo traveler ', ' Double Room with Two Double Beds ', ' Stayed 1 night ']"
338,9,0,1241,8,1,"[' Leisure trip ', ' Family with young children ', ' Loft Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
908,8.5,8,3980,6,16,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
189,9.2,0,781,46,14,"[' Leisure trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 1 night ']"
164,8.5,25,2383,18,11,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 5 nights ']"
77,7.8,42,388,16,6,"[' Leisure trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 1 night ']"
451,8.5,2,2756,2,78,"[' Business trip ', ' Couple ', ' Premium Double or Twin Room ', ' Stayed 2 nights ']"
303,8.9,2,1110,15,1,"[' Couple ', ' Double Room ', ' Stayed 1 night ']"
1172,7.8,25,5945,0,1,"[' Leisure trip ', ' Family with young children ', ' Executive Club Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
156,8.5,11,1354,11,5,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room with Terrace ', ' Stayed 2 nights ']"
190,8.5,0,3003,12,10,"[' Leisure trip ', ' Group ', ' Twin Room with Public Transport Ticket ', ' Stayed 4 nights ']"
